Dates,ABBV,NASDAQ,SPX,DJI,10Y Yield,ABBVP,NASDAQP,SPXP,DJIP
31/10/2014,0.052545156,0.032803181,0.027198158,0.034860091,2.35,92.3,55.85,42.76,32.4
7/11/2014,-0.030889236,0.000384986,0.006864668,0.010498489,2.32,86.36,55.91,43.74,33.79
14/11/2014,0.040673964,0.012058239,0.003895923,0.003512968,2.32,93.94,57.79,44.3,34.26
21/11/2014,0.052490461,0.005196781,0.011642412,0.009906152,2.31,104.12,58.61,45.98,35.59
28/11/2014,0.027336861,0.016707648,0.001918071,0.001032525,2.18,109.7,61.26,46.26,35.73
5/12/2014,0.007343825,-0.00223242,0.003828798,0.007293892,2.31,111.24,60.9,46.82,36.72
12/12/2014,-0.063671653,-0.026600373,-0.035213186,-0.037741369,2.1,97.79,56.62,41.65,31.56
19/12/2014,0.03736286,0.024007151,0.034098129,0.030328367,2.17,105.18,60.38,46.48,35.55
26/12/2014,-0.01077103,0.008666916,0.008738394,0.014016968,2.25,102.97,61.77,47.76,37.45
2/1/2015,-0.01625856,-0.016628547,-0.0146183,-0.012222626,2.12,99.67,59.08,45.6,35.77
9/1/2015,-0.00170281,-0.00477747,-0.006524725,-0.00537674,1.98,99.33,58.32,44.65,35.04
16/1/2015,-0.018813024,-0.014843355,-0.012374698,-0.012736967,1.83,95.58,55.97,42.86,33.32
23/1/2015,-0.032723182,0.026671796,0.016029679,0.009225923,1.81,89.18,60.13,45.15,34.55
30/1/2015,-0.033301618,-0.025791544,-0.027695487,-0.028762542,1.68,82.88,56,41.13,30.68
6/2/2015,-0.057195976,0.023525641,0.030326649,0.038414448,1.95,72.42,59.67,45.41,35.7
13/2/2015,0.020241271,0.031502474,0.020218692,0.010980103,2.02,75.91,64.7,48.35,37.19
20/2/2015,0.055994543,0.012689739,0.006336367,0.006706028,2.13,85.76,66.79,49.29,38.11
27/2/2015,-0.013081395,0.001558846,-0.002746333,-0.000434436,2.03,83.33,67.05,48.88,38.05
6/3/2015,-0.080292369,-0.007303203,-0.015784524,-0.01521188,2.24,68.61,65.83,46.53,35.95
13/3/2015,0.042405551,-0.011276609,-0.008667167,-0.006031629,2.13,75.76,63.96,45.26,35.13
20/3/2015,0.041363223,0.031715052,0.026641884,0.02131281,1.93,83.03,69.16,49.13,38.01
27/3/2015,-0.045511665,-0.026897612,-0.022329511,-0.022896892,1.95,74.7,64.61,45.8,34.85
3/4/2015,-0.011104751,-0.000850495,0.002880658,0.002892102,1.85,72.76,64.47,46.22,35.24
10/4/2015,0.087520259,0.0223141,0.016960744,0.016563147,1.96,87.88,68.14,48.7,37.48
17/4/2015,0.004683841,-0.012846437,-0.009885676,-0.012801862,1.87,88.76,65.98,47.23,35.72
24/4/2015,0.060659038,0.032473792,0.017523603,0.014220454,1.93,100.21,71.37,49.81,37.65
1/5/2015,-0.026472204,-0.016980802,-0.00440558,-0.003123865,2.12,94.91,68.46,49.15,37.22
8/5/2015,0.014314299,-0.000415529,0.003687563,0.009255211,2.16,97.7,68.39,49.7,38.49
15/5/2015,0.011482044,0.008967278,0.003139613,0.004476858,2.14,99.97,69.9,50.17,39.11
22/5/2015,-0.007751163,0.008122425,0.001531598,-0.002228452,2.21,98.42,71.28,50.4,38.8
